ID,Dag,Maand,Jaar,Tijd,Plaats,Buurt,Straat,Poging,Opgelost
2012556373-1,30,11,2012,19,ROTTERDAM,2-KRALINGEN OOST,WALDECK-PYRMONTLAAN,N,N
2012556468-1,30,11,2012,19,ROTTERDAM,7-STRUISENBURG,OOSTMAASLAAN,J,N
2012557217-1,30,11,2012,23,ROTTERDAM,9-GROOT IJSSELMONDE,BREDENOORD,N,N
2012559016-1,30,11,2012,19,ROTTERDAM,2-KRALINGEN OOST,WALDECK-PYRMONTLAAN,N,N
2012560294-1,30,11,2012,19,ROTTERDAM,2-KRALINGEN OOST,WALDECK-PYRMONTLAAN,N,N
2012565273-1,30,11,2012,23,ROTTERDAM,0-SCHIEBROEK,HAZELAARWEG,N,N
2012556802-1,1,12,2012,2,ROTTERDAM,1-BERGPOLDER,BERGPOLDERSTRAAT,N,N
2012556714-1,1,12,2012,1,ROTTERDAM,7-STRUISENBURG,OOSTZEEDIJK,N,N
2012556711-1,1,12,2012,24,ROTTERDAM,6-NIEUW CROOSWIJK,KERKHOFLAAN,N,N
2012557640-1,2,12,2012,24,ROTTERDAM,7-OUD MATHENESSE,TJALKLAAN,N,N
2012558396-1,2,12,2012,20,HOOGVLIET ROTTERDAM,9-HOOGVLIET ZUID,VISKAARWEG,J,N
2012559835-1,2,12,2012,20,HOOGVLIET ROTTERDAM,9-HOOGVLIET ZUID,VISKAARWEG,N,N
2012559302-1,3,12,2012,20,CAPELLE AAN DEN IJSSEL,0-SCHOLLEBOS,SCHOLLEBOS,N,N
2012559374-1,3,12,2012,20,CAPELLE AAN DEN IJSSEL,5-DANSENBUURT,CAPELSEWEG,N,N
2012560594-1,4,12,2012,19,ROTTERDAM,7-OUD CROOSWIJK,BOEZEMDWARSSTRAAT,N,N
2012564330-1,5,12,2012,19,ROTTERDAM,1-BLOEMHOF,PUTSEBOCHT,N,N
2012562244-1,6,12,2012,7,ROTTERDAM,0-STADSDRIEHOEK,VASTELAND,N,N
2012562749-1,6,12,2012,5,ROTTERDAM,4-LOMBARDIJEN,SPINOZAWEG,J,N
2012563803-1,7,12,2012,17,ROTTERDAM,3-SPANGEN,PIET PAALTJENSPLEIN,N,N
2012567724-1,8,12,2012,5,ROTTERDAM,4-NIEUWE WESTEN,NIEUWE BINNENWEG,J,N
2012568788-1,8,12,2012,22,BARENDRECHT,1-NOORD,VRIJENBURGPAD (FP),N,N
2012565033-1,9,12,2012,2,ROTTERDAM,1-OUDE WESTEN,NIEUWE BINNENWEG,N,N
2012565479-1,9,12,2012,17,ROTTERDAM,7-FEIJENOORD,PIEKSTRAAT,N,N
2012565648-1,9,12,2012,19,VLAARDINGEN,1-WESTWIJK,DIRK DE DERDELAAN,N,N
2012568239-1,9,12,2012,5,ROTTERDAM,2-BLIJDORP,SCHEPENSTRAAT,N,N
2012566909-1,11,12,2012,6,ROTTERDAM,3-KRALINGSE BOS,BOSDREEF,J,N
2012566916-1,11,12,2012,8,ROTTERDAM,4-LOMBARDIJEN,MOLENVLIET,J,N
2012567809-1,11,12,2012,20,ROTTERDAM,6-ZUIDPLEIN,ZUIDENWIJDSESTRAAT,N,N
2012568020-1,11,12,2012,23,ROTTERDAM,2-TUSSENDIJKE,GROTE VISSERIJSTRAAT,N,N
2012570757-1,11,12,2012,6,ROTTERDAM,3-KRALINGSE BOS,BOSDREEF,J,N
2012568663-1,12,12,2012,13,ROTTERDAM,9-ZONDER NAAM,ROSESTRAAT,N,N
2012568745-1,12,12,2012,15,ROTTERDAM,3-OUD IJSSELMONDE,COR KIEBOOMPLEIN,N,N
2012569689-1,12,12,2012,14,ROTTERDAM,9-DIJKZIGT,MATHENESSERLAAN,N,N
2012569140-1,12,12,2012,21,ROTTERDAM,0-VREEWIJK,DORDTSESTRAATWEG,J,N
2012569968-1,13,12,2012,14,ROTTERDAM,2-COOL,ZWARTE PAARDENSTRAAT,N,N
2012570025-1,13,12,2012,16,ROTTERDAM,9-GROOT IJSSELMONDE,GROENE TUIN,N,N
2012570230-1,13,12,2012,20,ROTTERDAM,6-ZEVENKAMP,SCHALMEI,N,N
2012570248-1,13,12,2012,22,ROTTERDAM,6-ZEVENKAMP,CARRY VAN BRUGGENPLEIN,N,N
2012570331-1,13,12,2012,20,ROTTERDAM,6-ZEVENKAMP,SCHALMEI,J,N
2012572071-1,14,12,2012,12,ROTTERDAM,1-BLOEMHOF,GROOTE LINDTSTRAAT,N,N
2012572197-1,15,12,2012,16,SCHIEDAM,1-OOST,SINGEL,N,N
2012572280-1,15,12,2012,21,SPIJKENISSE,3-EGEL-/SALAMANDERVEEN,SALAMANDERVEEN,N,N
