ID,Datu,m,,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2012384793-1,15,06,2012,VR,1:15,1:30,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,4-4,GOUDSEWAGENSTRAAT,3011RK,N,N,m
2012377160-1,15,06,2012,ZO,16:00,16:00,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,7-7,NOORDPLEIN,3032XN,N,J,
2012377936-1,16,06,2012,ZA,12:30,12:30,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,4-4,DAHLIASTRAAT,3073BE,N,N,v
2012384207-1,16,06,2012,ZA,0:30,1:30,ROTTERDAM,DISTRICT 9,7-Jul,9-ZONDER NAAM,0-0,DRAAISCHIJF,3071AM,N,N,m
2012387915-1,17,06,2012,ZO,23:59,23:59,BARENDRECHT,DISTRICT 10,0-BARENDRECHT DORP,4-BUITENOORD,4-ZUID,BOEIER,2991KH,N,N,m
2012378351-1,17,06,2012,ZO,0:10,0:12,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,4-4,SLAGHEKSTRAAT,3074LA,N,N,m
2012378490-1,17,06,2012,ZO,4:46,4:46,SPIJKENISSE,DISTRICT 11,2-MAASWIJK,1-MAASWIJK-N.W.,7-PC 7,JOKE SMITLAAN,,N,N,m
2012378849-1,17,06,2012,ZO,16:50,17:10,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,ACHTEROM,3131BM,N,N,m
2012378929-1,17,06,2012,ZO,17:30,17:45,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,3-3,BRAMENTUIN,3078TC,N,N,m
2012380395-1,17,06,2012,ZO,19:00,20:00,ROTTERDAM,DISTRICT 6,4-Apr,2-KRALINGEN OOST,0-0,WALDECK-PYRMONTLAAN,3062BV,N,N,v
2012538289-1,17,06,2012,ZO,5:55,6:05,ROTTERDAM,DISTRICT 5,1-Jan,6-PROVENIERSWIJK,3-3,PROVENIERSPLEIN,,N,N,m
2012379532-1,18,06,2012,MA,12:51,12:51,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,3-3,LAANTJESWEG,3074SZ,N,N,v
2012379958-1,18,06,2012,MA,17:54,17:54,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,2-2,1E MIDDELLANDSTRAAT,3021BD,N,N,v
2012380184-1,19,06,2012,DI,1:26,1:26,ROTTERDAM,DISTRICT 9,8-Aug,4-LOMBARDIJEN,1-1,SMEETSLANDSEDIJK,,N,N,v
2012380520-1,19,06,2012,DI,10:40,10:45,ROTTERDAM,DISTRICT 9,7-Jul,9-ZONDER NAAM,2-2,SPOORWEGHAVEN,3071ZE,N,J,v
2012382103-1,19,06,2012,DI,13:15,13:20,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,0-0,PRINS ALEXANDERLAAN,3068PN,N,J,v
2012388078-1,19,06,2012,DI,12:25,12:25,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,4-4,KREEKHUIZENLAAN,,N,N,m
2012381344-1,20,06,2012,WO,1:15,1:15,ROTTERDAM,DISTRICT 2,5-May,3-SPAANSE POLDER,2-2,THURLEDEWEG,3044ES,N,N,m
2012381895-1,20,06,2012,WO,13:00,13:11,ROTTERDAM,DISTRICT 9,7-Jul,9-ZONDER NAAM,1-1,LAAN OP ZUID,,N,J,v
2012382592-1,20,06,2012,WO,23:30,0:00,ROTTERDAM,DISTRICT 10,7-Jul,8-ZUIDERPARK,3-3,ZUIDERPARK (PARK),,N,N,m
