ID,Dag,Maand,Jaar,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2011200366-1,4,072,011,MA,1:00,1:00,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,BAANSTRAAT,3131CA,Bewolking,Bewolking,m
2011200714-1,4,072,011,MA,15:30,15:45,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,6-6,VIERAMBACHTSSTRAAT,3023AM,Bewolking,Bewolking,v
2011200974-1,4,072,011,MA,20:30,20:45,ROTTERDAM,DISTRICT 9,9-Sep,0-BEVERWAARD,2-2,STERKENBURGSINGEL,3077DC,Bewolking,Bewolking,m
2011201868-1,4,072,011,MA,18:30,18:30,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,0-0,ESPELO,,Bewolking,Bewolking,v
2011202703-1,4,072,011,MA,17:45,17:45,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,2-2,LANGENHORST,3085HA,Bewolking,Bewolking,m
2011203093-1,4,072,011,MA,15:15,15:15,ROTTERDAM,DISTRICT 10,7-Jul,8-ZUIDERPARK,3-3,ZUIDERPARKPLEIN,3084BD,Bewolking,Bewolking,m
2011202124-1,5,072,011,DI,17:48,17:48,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,7-7,GROENE HILLEDIJK,3073AG,Bewolking,J,v
2011207101-1,5,072,011,DI,14:00,14:00,ROTTERDAM,DISTRICT 5,6-Jun,1-HILLEGERSBERG ZUID,5-5,KLEIWEG,,Bewolking,Bewolking,v
2011203412-1,6,072,011,WO,19:20,19:20,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,2-2,RAUWENHOFFPLEIN,3022RJ,Bewolking,Bewolking,m
2011204024-2,7,072,011,DO,13:45,13:45,RHOON,DISTRICT 10,2-BUITEN BEBOUWDE KOM,0-ZUID,0-ZUID,KOEDOODPAD,,Bewolking,Bewolking,v
