ID,Dag,Maand,Jaar,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2011000116-1,1,012,011,ZA,1:30,1:30,ROTTERDAM,DISTRICT 9,1-Jan,7-KOP VAN ZUID,0-0,VEEMSTRAAT,3072DC,Bewolking,J,m
2011000127-1,1,012,011,ZA,1:10,1:33,ROTTERDAM,DISTRICT 9,9-Sep,0-BEVERWAARD,0-0,RIJSENBURGSTRAAT,3077,Bewolking,Bewolking,m
2011000362-1,1,012,011,ZA,2:00,2:00,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,HOOGSTRAAT,3131BN,Bewolking,Bewolking,v
2011000739-1,1,012,011,ZA,1:00,1:00,VLAARDINGEN,DISTRICT 1,4-WIJK 4,2-HAVENGEBIED,0-HAVENGEBIED,KON WILHELMINAHAVEN ZZ,,Bewolking,J,m
2011000766-1,1,012,011,ZA,5:00,5:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,DUYSTSTRAAT,,Bewolking,Bewolking,m
2011000820-1,1,012,011,ZA,19:45,19:50,ROTTERDAM,DISTRICT 5,3-Mar,4-LISKWARTIER,5-5,WILLEBRORDUSSTRAAT,3037TZ,Bewolking,Bewolking,v
2011002339-1,1,012,011,ZA,0:30,0:45,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,0-0,MAASHAVEN ZZ,3081AE,Bewolking,Bewolking,v
2011000997-1,2,012,011,ZO,3:02,3:30,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,4-4,ADRIANASTRAAT,,Bewolking,J,m
2011001493-1,2,012,011,ZO,22:30,22:45,ROTTERDAM,DISTRICT 5,6-Jun,0-SCHIEBROEK,7-7,MELANCHTONWEG,3045PN,J,Bewolking,v
2011002035-1,2,012,011,ZO,22:00,22:15,ROTTERDAM,DISTRICT 10,7-Jul,4-OUD CHARLOIS,2-2,SCHILPEROORTSTRAAT,3082SZ,Bewolking,Bewolking,m
2011002166-1,2,012,011,ZO,18:15,18:15,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,7-7,GROENE HILLEDIJK,3073AK,Bewolking,Bewolking,v
2011002304-1,2,012,011,ZO,22:00,22:00,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,3-3,GEERVLIETSTRAAT,3081SE,Bewolking,Bewolking,v
2011011408-1,2,012,011,ZO,19:00,19:30,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,STATIONSPLEIN,,Bewolking,Bewolking,
2011002204-1,3,012,011,MA,14:15,14:45,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,7-7,EENDRACHTSPLEIN,3015LA,Bewolking,Bewolking,v
2011003392-1,4,012,011,DI,14:00,15:00,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,3-3,BINNENROTTE,3011HC,Bewolking,Bewolking,m
2011003544-1,4,012,011,DI,17:35,17:38,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,6-6,HEEMRAADSSINGEL,3023CE,Bewolking,Bewolking,m
2011004542-1,5,012,011,WO,14:20,14:20,ROTTERDAM,DISTRICT 6,4-Apr,2-KRALINGEN OOST,3-3,AVENUE CONCORDIA,3062LB,Bewolking,Bewolking,v
2011004761-1,5,012,011,WO,20:36,20:36,BARENDRECHT,DISTRICT 10,3-BUITEN BEBOUWDE KOM,1-NOORD,0-NOORD,VRIJENBURGPARK,,Bewolking,J,m
2011015047-1,5,012,011,WO,9:20,9:20,BARENDRECHT,DISTRICT 10,0-BARENDRECHT DORP,1-NOORD,4-BINNENLAND,KWIKSTAART,,Bewolking,Bewolking,
2011018298-1,5,012,011,WO,20:00,20:30,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,COOLHAVEN,3024AR,Bewolking,Bewolking,m
2011018430-1,5,012,011,WO,20:00,20:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,COOLHAVEN,3024AR,Bewolking,Bewolking,m
2011005410-1,6,012,011,DO,10:55,11:26,ROTTERDAM,DISTRICT 10,7-Jul,6-ZUIDPLEIN,2-2,ZUIDPLEIN HOOG,3083BJ,Bewolking,Bewolking,v
2011005797-1,6,012,011,DO,17:27,17:27,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,2-2,SLINGE,3086EZ,Bewolking,Bewolking,m
2011051576-1,6,012,011,DO,7:45,8:00,SCHIEDAM,DISTRICT 2,5-ZUID C,6-NIEUWLAND-OOST,7-NIEUWLAND-7,NIEUWE DAMLAAN,,Bewolking,J,
2011007020-1,7,012,011,VR,18:45,18:45,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,0-0,DIERGAARDESINGEL,3014AA,Bewolking,Bewolking,m
2011009566-1,7,012,011,VR,17:45,23:00,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,STATIONSPLEIN,3013AJ,Bewolking,Bewolking,v
2011008322-1,8,012,011,ZA,19:45,19:45,ROTTERDAM,DISTRICT 6,6-Jun,3-OMMOORD,2-2,BINNENHOF,3069KV,Bewolking,J,m
2011008506-1,8,012,011,ZA,17:30,18:30,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,2-2,SLINGE,3085ER,Bewolking,Bewolking,m
2011009222-1,8,012,011,ZA,0:30,0:30,ROTTERDAM,DISTRICT 10,9-Sep,2-HOOGVLIET NOORD,1-1,AVELING,3191LB,Bewolking,J,m
2011008580-2,9,012,011,ZO,16:30,16:45,CAPELLE AAN DEN IJSSEL,DISTRICT 6,9-OOSTGAARDE ZUID,1-EILANDENBUURT,1-EILANDENBUURT,AMIRANTEN,,Bewolking,J,m
2011008586-1,9,012,011,ZO,19:45,19:45,ROTTERDAM,DISTRICT 5,6-Jun,1-HILLEGERSBERG ZUID,5-5,KLEIWEG,,Bewolking,Bewolking,v
2011008597-1,9,012,011,ZO,19:00,19:15,ROTTERDAM,DISTRICT 9,8-Aug,6-AFRIKAANDERWIJK,5-5,DE LA REYSTRAAT,3072TL,Bewolking,Bewolking,v
2011008702-1,10,01,2011,MA,1:18,2:03,ROTTERDAM,DISTRICT 3,2-Feb,7-OUD MATHENESSE,4-4,FRANSELAAN,3028AG,Bewolking,J,m
2011009070-1,10,01,2011,MA,11:06,11:06,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,GRIENDERWAARD,3078NW,Bewolking,J,v
2011009687-1,10,01,2011,MA,19:30,19:45,ROTTERDAM,DISTRICT 10,7-Jul,6-ZUIDPLEIN,2-2,ZUIDPLEIN,3083CW,Bewolking,J,v
2011009793-1,10,01,2011,MA,19:51,19:51,ROTTERDAM,DISTRICT 6,1-Jan,4-RUBROEK,2-2,VONDELWEG,3031PW,Bewolking,Bewolking,v
2011011257-1,10,01,2011,MA,16:30,16:35,CAPELLE AAN DEN IJSSEL,DISTRICT 6,7-MIDDELWATERING WEST,6-BUURTSCHAP LIJSTERSINGE,9-WATERVOGELS WESTZIJDE,MEEUWENSINGEL,2903TA,Bewolking,Bewolking,v
2011009834-1,11,01,2011,DI,0:22,0:22,ROTTERDAM,DISTRICT 3,2-Feb,7-OUD MATHENESSE,3-3,BELGISCHESTRAAT,3028TC,Bewolking,J,m
2011010824-1,11,01,2011,DI,17:35,17:45,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,3-3,GAESBEEKSTRAAT,3081NE,Bewolking,Bewolking,v
2011010873-1,11,01,2011,DI,19:45,20:01,ROTTERDAM,DISTRICT 9,8-Aug,6-AFRIKAANDERWIJK,5-5,CHRISTIAAN DE WETSTRAAT,3072VL,Bewolking,J,v
2011010952-1,11,01,2011,DI,19:25,19:25,BARENDRECHT,DISTRICT 10,7-VRIJENBURG,1-VRIJENBURG,8-VRIJENBURG CARRE,AVENUE CARRE,2994EA,Bewolking,Bewolking,m
2011011688-1,12,01,2011,WO,12:30,12:30,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,7-7,PAASWEIDE,3075DZ,Bewolking,Bewolking,m
2011012168-1,13,01,2011,DO,2:15,2:30,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,4-4,KROMME ELLEBOOG,3012VM,Bewolking,J,m
2011013206-1,13,01,2011,DO,14:30,14:30,ROTTERDAM,DISTRICT 10,7-Jul,4-OUD CHARLOIS,6-6,HUISMANSTRAAT,3082HK,Bewolking,Bewolking,m
2011013328-1,13,01,2011,DO,20:02,20:03,ROTTERDAM,DISTRICT 5,3-Mar,4-LISKWARTIER,4-4,ACKERSDIJKSTRAAT,3037VN,Bewolking,J,v
2011013919-1,13,01,2011,DO,18:30,18:30,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,9-9,NOORDSINGEL,,Bewolking,Bewolking,
2011014196-1,13,01,2011,DO,23:30,23:54,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,7-7,CLAES DE VRIESELAAN,,Bewolking,Bewolking,
2011014452-1,13,01,2011,DO,14:30,15:30,ROTTERDAM,DISTRICT 9,8-Aug,4-LOMBARDIJEN,4-4,OGIERSSINGEL,,J,Bewolking,
2011028144-1,13,01,2011,DO,22:15,22:15,SCHIEDAM,DISTRICT 2,3-ZUID A,6-NIEUWLAND-WEST,8-NIEUWLAND-8,DR. WIBAUTPLEIN,3118KA,Bewolking,Bewolking,
2011014487-1,14,01,2011,VR,18:30,18:44,ROTTERDAM,DISTRICT 3,2-Feb,3-SPANGEN,0-0,SPAANSEBOCHT,3027EH,Bewolking,Bewolking,
2011014544-1,14,01,2011,VR,19:00,19:30,ROTTERDAM,DISTRICT 3,2-Feb,7-OUD MATHENESSE,5-5,SPAANSEBOCHT,,Bewolking,Bewolking,
2011014579-1,14,01,2011,VR,20:25,20:25,ROTTERDAM,DISTRICT 3,5-May,6-OVERSCHIE,5-5,SAENREDAMPLEIN,3043RK,Bewolking,J,
2011014624-1,14,01,2011,VR,19:50,20:00,SPIJKENISSE,DISTRICT 11,1-SCHIEKAMP/HOOGWERF,2-HOOGWERF-NOORD,2-PC 2,LELIESTRAAT,,Bewolking,Bewolking,
2011014748-1,14,01,2011,VR,22:40,22:58,SPIJKENISSE,DISTRICT 11,7-AKKERS/VRIESL./VOGELENZ,0-DREVEN,4-PC 4,POSTELEINDREEF,3204HC,Bewolking,J,
2011014963-1,14,01,2011,VR,22:00,22:00,ROTTERDAM,DISTRICT 9,7-Jul,9-ZONDER NAAM,1-1,LODEWIJK PINCOFFSWEG,3071AS,Bewolking,Bewolking,
2011015087-1,14,01,2011,VR,23:00,23:15,SPIJKENISSE,DISTRICT 11,7-AKKERS/VRIESL./VOGELENZ,0-DREVEN,4-PC 4,RAMMENASDREEF,3204HE,Bewolking,Bewolking,
2011015187-1,14,01,2011,VR,20:15,20:16,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,2-2,WOLPHAERTSBOCHT,3081KP,Bewolking,Bewolking,
2011015219-1,14,01,2011,VR,23:15,23:30,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,4-4,HOOGSTRAAT,,Bewolking,Bewolking,
2011015183-1,15,01,2011,ZA,11:25,11:30,ROTTERDAM,DISTRICT 3,2-Feb,1-BOSPOLDER,1-1,BOSPOLDERPLEIN,3025EN,Bewolking,J,
2011015552-1,15,01,2011,ZA,22:19,22:19,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,3-3,CLAES DE VRIESELAAN,3021JE,Bewolking,Bewolking,
2011015922-1,15,01,2011,ZA,22:30,23:00,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,7-7,CLAES DE VRIESELAAN,,Bewolking,Bewolking,
2011015680-1,16,01,2011,ZO,2:10,2:10,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,7-7,PUPILLENSTRAAT,3023VN,Bewolking,J,
2011015798-1,16,01,2011,ZO,0:43,0:43,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,2-2,BURGEMEESTER MEINESZLAAN,3022BH,Bewolking,Bewolking,
2011015884-1,16,01,2011,ZO,3:30,3:30,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,VEERPLEIN,,Bewolking,J,
2011017292-1,17,01,2011,MA,12:00,13:10,ROTTERDAM,DISTRICT 9,8-Aug,4-LOMBARDIJEN,1-1,SPINOZAWEG,3076ET,Bewolking,Bewolking,
2011017306-1,17,01,2011,MA,17:55,18:00,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,7-7,GERDESIAWEG,3061EL,Bewolking,Bewolking,
2011017815-1,17,01,2011,MA,23:00,23:04,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,4-4,KREEKHUIZENLAAN,,J,Bewolking,
2011018578-1,17,01,2011,MA,20:45,20:45,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,2-2,BRIELSELAAN,3081LN,Bewolking,Bewolking,
2011018743-1,18,01,2011,DI,16:45,16:45,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,5-5,MOTORSTRAAT,3083AP,Bewolking,Bewolking,
2011019029-1,18,01,2011,DI,18:30,18:30,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,5-5,WEVERSHOEKSTRAAT,3081PA,Bewolking,Bewolking,
2011025924-1,18,01,2011,DI,20:00,20:00,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,3-3,ASTERSTRAAT,3073EE,J,Bewolking,
2011019349-1,19,01,2011,WO,12:55,12:55,ROTTERDAM,DISTRICT 3,2-Feb,8-WITTE DORP,0-0,AAKSTRAAT,3028RA,Bewolking,J,
2011019818-1,19,01,2011,WO,7:45,7:45,ROTTERDAM,DISTRICT 5,1-Jan,6-PROVENIERSWIJK,1-1,SPOORSINGEL,,Bewolking,Bewolking,
2011020559-1,19,01,2011,WO,20:00,20:05,SCHIEDAM,DISTRICT 2,5-ZUID C,6-NIEUWLAND-OOST,7-NIEUWLAND-7,MGR. NOLENSLAAN,3119EL,Bewolking,Bewolking,
2011020647-1,20,01,2011,DO,11:30,11:30,BARENDRECHT,DISTRICT 10,0-BARENDRECHT DORP,3-NOORD WEST,0-OUDE DORP,DORPSSTRAAT,,Bewolking,Bewolking,
2011020839-1,20,01,2011,DO,16:10,16:15,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,5-5,2E PIJNACKERSTRAAT,3035GJ,Bewolking,Bewolking,
2011021712-1,20,01,2011,DO,13:15,13:25,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,5-HORDIJKER,VIKINGOORD,,Bewolking,J,
2011104931-1,20,01,2011,DO,10:15,10:35,ROTTERDAM,DISTRICT 9,8-Aug,4-LOMBARDIJEN,4-4,OVINKSTRAAT,3076CX,Bewolking,J,m
2011022321-1,21,01,2011,VR,22:30,22:30,ROTTERDAM,DISTRICT 5,6-Jun,0-SCHIEBROEK,8-8,KEMPERWEG,,Bewolking,Bewolking,
2011047439-1,21,01,2011,VR,21:15,21:30,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,2-2,MAURITSWEG,,Bewolking,Bewolking,
2011022382-1,22,01,2011,ZA,0:00,0:10,VLAARDINGEN,DISTRICT 1,4-WIJK 4,1-OOSTWIJK,0-OOSTWIJK,PARKWEG,3134VR,Bewolking,Bewolking,
2011022392-1,22,01,2011,ZA,0:30,0:45,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,DELFTSESTRAAT,3013CJ,Bewolking,Bewolking,
2011022401-1,22,01,2011,ZA,1:00,1:00,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,DELFTSESTRAAT,,Bewolking,Bewolking,
2011022733-1,22,01,2011,ZA,0:30,0:30,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,0-0,ESSENBURGSINGEL,3021AP,Bewolking,Bewolking,
2011023676-1,22,01,2011,ZA,15:00,15:30,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,4-4,LAKERVELD,3085BK,Bewolking,Bewolking,
2011024937-1,22,01,2011,ZA,0:01,0:30,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,DELFTSESTRAAT,,Bewolking,Bewolking,
2011023487-1,23,01,2011,ZO,8:20,8:30,ROTTERDAM,DISTRICT 6,1-Jan,4-RUBROEK,0-0,LINKER ROTTEKADE,3034CV,Bewolking,Bewolking,
2011024547-1,23,01,2011,ZO,11:45,12:00,BARENDRECHT,DISTRICT 10,0-BARENDRECHT DORP,2-CENTRUM,1-DRIEHOEK,MR. LOHMANSTRAAT,2991GD,Bewolking,Bewolking,
2011026872-1,23,01,2011,ZO,0:05,0:30,ROTTERDAM,DISTRICT 3,1-Jan,9-DIJKZIGT,4-4,COOLHAVEN,3015GC,Bewolking,Bewolking,
2011024435-1,24,01,2011,MA,11:53,11:53,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,7-7,GROOTE LINDTSTRAAT,,Bewolking,J,
2011024930-1,24,01,2011,MA,15:15,15:30,ROTTERDAM,DISTRICT 10,7-Jul,6-ZUIDPLEIN,2-2,ZUIDPLEIN HOOG,3083BH,Bewolking,Bewolking,
2011025164-1,25,01,2011,DI,2:05,2:10,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,STATIONSPLEIN,3013AK,Bewolking,Bewolking,
2011026122-1,25,01,2011,DI,17:00,17:15,ROTTERDAM,DISTRICT 5,1-Jan,6-PROVENIERSWIJK,0-0,WALENBURGERWEG,3033AG,Bewolking,Bewolking,
2011026918-1,25,01,2011,DI,21:45,21:50,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,1-1,WEST-KRUISKADE,3014AN,Bewolking,Bewolking,
2011044285-1,25,01,2011,DI,16:30,17:00,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,4-4,PUTSEBOCHT,3073HK,Bewolking,Bewolking,
2011026438-1,26,01,2011,WO,6:50,7:05,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,4-4,ZWAANSHALS,3036KV,Bewolking,J,
2011027349-1,26,01,2011,WO,19:17,19:19,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,5-5,NOORDEINDE,,Bewolking,Bewolking,
2011027428-1,26,01,2011,WO,20:55,21:10,ROTTERDAM,DISTRICT 6,4-Apr,9-HET LAGE LAND,3-3,PRINSENLAAN,,Bewolking,D,
2011027528-1,27,01,2011,DO,0:30,0:30,ROTTERDAM,DISTRICT 6,4-Apr,1-KRALINGEN WEST,0-0,FUIKSTRAAT,3061LG,Bewolking,Bewolking,
2011027565-1,27,01,2011,DO,4:30,4:30,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,3-3,COOLSINGEL,,Bewolking,J,
2011028642-1,27,01,2011,DO,21:50,21:50,ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,1-1,DOGGERSBANK,3192DA,Bewolking,J,
2011028721-1,27,01,2011,DO,23:00,23:05,ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,1-1,BEUGSTRAAT,3192GA,Bewolking,J,
2011029491-1,27,01,2011,DO,20:00,20:10,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,2-2,BLAAK,3011GB,Bewolking,Bewolking,
2011028772-1,28,01,2011,VR,7:28,7:28,ROTTERDAM,DISTRICT 6,3-Mar,6-NIEUW CROOSWIJK,3-3,KERKHOFLAAN,,J,J,
2011029227-1,28,01,2011,VR,14:47,14:47,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,5-5,MILLINXSTRAAT,,Bewolking,J,
2011029274-1,28,01,2011,VR,13:00,13:10,ROTTERDAM,DISTRICT 12,9-Sep,4-WAALHAVEN,4-4,OPIJNENSTRAAT,,J,Bewolking,
2011029277-1,28,01,2011,VR,14:50,14:50,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,0-0,BINNENROTTE,3011HB,Bewolking,J,
2011029550-1,28,01,2011,VR,17:45,18:00,VLAARDINGEN,DISTRICT 1,2-WIJK 2,1-WESTWIJK,0-WESTWIJK,HAEMSTEDEHOF,3132ZH,Bewolking,Bewolking,
2011029842-1,28,01,2011,VR,22:30,22:30,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,3-3,MIJNSHERENLAAN,3081GA,J,Bewolking,
2011030272-1,28,01,2011,VR,12:30,12:45,ROTTERDAM,DISTRICT 4,1-Jan,2-COOL,2-2,BOOMGAARDHOF,3012JJ,Bewolking,J,
2011031971-1,28,01,2011,VR,20:00,20:00,CAPELLE AAN DEN IJSSEL,DISTRICT 6,7-MIDDELWATERING WEST,2-DICHTERSBUURT,2-DICHTERSBUURT,SLOTLAAN,2902AL,Bewolking,Bewolking,
2011030245-1,29,01,2011,ZA,9:05,9:15,HELLEVOETSLUIS,DISTRICT 11,1-WIJK 4 / HKS WIJK 1,1-KOOISTEE KANAALZIJDE,4-VLOTBRUG,TRAMBAANPAD,,Bewolking,Bewolking,
2011030341-1,29,01,2011,ZA,16:15,16:30,ROTTERDAM,DISTRICT 3,2-Feb,1-BOSPOLDER,0-0,PARK 1943,,Bewolking,Bewolking,
2011030647-1,30,01,2011,ZO,1:10,1:10,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,3-3,CORNELIS VAN BEVERENBRUG,,Bewolking,Bewolking,
2011030923-1,30,01,2011,ZO,11:30,11:45,ROTTERDAM,DISTRICT 6,6-Jun,3-OMMOORD,4-4,HESSEPLAATS,3069EA,Bewolking,Bewolking,
2011031070-1,30,01,2011,ZO,15:30,15:45,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,LIESVELD,3131CK,Bewolking,J,
2011031099-1,30,01,2011,ZO,15:03,15:03,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,PALMENTUIN,3078KJ,Bewolking,J,
2011031111-1,30,01,2011,ZO,1:30,1:30,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,2-2,TROMSODREEF,,Bewolking,J,
2011031161-1,30,01,2011,ZO,18:52,18:52,ROTTERDAM,DISTRICT 9,9-Sep,0-BEVERWAARD,3-3,GROENINX VAN ZOELENLAAN,3077DE,J,J,
2011031209-1,30,01,2011,ZO,20:20,20:20,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,0-0,SLINGE,3086EZ,Bewolking,J,
2011034728-1,30,01,2011,ZO,3:15,3:30,ROTTERDAM,DISTRICT 9,8-Aug,7-FEIJENOORD,3-3,ORANJEBOOMSTRAAT,3071BR,Bewolking,Bewolking,
2011042576-1,30,01,2011,ZO,22:30,22:45,ROTTERDAM,DISTRICT 9,8-Aug,4-LOMBARDIJEN,5-5,DUMASSTRAAT,3076HL,Bewolking,Bewolking,
2011032584-1,31,01,2011,MA,20:50,20:50,VLAARDINGEN,DISTRICT 1,4-WIJK 4,1-OOSTWIJK,0-OOSTWIJK,1E VAN LEYDEN GAELSTRAAT,3134LE,Bewolking,Bewolking,
2011032607-1,31,01,2011,MA,22:45,22:45,VLAARDINGEN,DISTRICT 1,6-WIJK 6,3-VOGELBUURT-HOLY,0-VOGELBUURT-HOLY,SPERWERLAAN,3136GL,Bewolking,Bewolking,
2011033445-1,31,01,2011,MA,18:35,18:40,ROTTERDAM,DISTRICT 5,6-Jun,5-MOLENLAANKWARTIER,1-1,BURG DE VILLENEUVESINGEL,3055AN,J,Bewolking,
2011033986-1,31,01,2011,MA,8:20,13:15,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,1-1,WEEGSCHAALHOF,3067TS,J,Bewolking,
2011034973-1,31,01,2011,MA,14:50,14:50,VLAARDINGEN,DISTRICT 1,5-WIJK 5,1-BABBERSPOLDER 1,0-BABBERSPOLDER 1,MR. L.A. KESPERWEG,3135BT,Bewolking,J,
2011042728-1,31,01,2011,MA,7:30,7:45,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,8-8,ENK,3075VC,J,Bewolking,
2011034939-1,1,022,011,DI,18:00,18:15,ROTTERDAM,DISTRICT 6,3-Mar,7-OUD CROOSWIJK,1-1,CROOSWIJKSEWEG,3034HE,J,Bewolking,
2011034853-1,2,022,011,WO,14:30,14:30,ROTTERDAM,DISTRICT 10,7-Jul,8-ZUIDERPARK,1-1,KROMME ZANDWEG,3084ND,Bewolking,Bewolking,
2011034990-1,2,022,011,WO,15:45,16:00,ROTTERDAM,DISTRICT 9,8-Aug,0-VREEWIJK,5-5,STREVELSWEG,3083AR,Bewolking,Bewolking,
2011035577-1,2,022,011,WO,15:00,15:00,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,KEIZERSWAARD,3078AL,Bewolking,J,
2011035886-1,2,022,011,WO,20:45,20:50,SCHIEDAM,DISTRICT 2,3-ZUID A,3-HET WESTEN,4-WEST-4,NIEUWE HAVEN,3117AD,Bewolking,Bewolking,
2011036101-1,2,022,011,WO,22:30,1:00,ROTTERDAM,DISTRICT 5,3-Mar,4-LISKWARTIER,4-4,SCHIEBROEKSELAAN,,Bewolking,J,
2011036180-1,2,022,011,WO,1:00,1:30,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,4-4,MIJNSHERENLAAN,3081GS,Bewolking,Bewolking,
2011036019-1,3,022,011,DO,15:20,15:30,SCHIEDAM,DISTRICT 2,2-NOORD B,7-HARGA/GROENOORD,2-GROENOORD-2,OBRECHTSTRAAT,,Bewolking,Bewolking,
2011036165-1,3,022,011,DO,15:55,16:00,ROTTERDAM,DISTRICT 10,7-Jul,8-ZUIDERPARK,3-3,AHOYWEG,3084BA,Bewolking,Bewolking,
2011036380-1,3,022,011,DO,20:00,20:00,ROTTERDAM,DISTRICT 9,8-Aug,2-HILLESLUIS,2-2,HILLEVLIET,3074KD,Bewolking,Bewolking,
2011036438-1,3,022,011,DO,22:20,22:20,ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,1-1,STOLPMAND,,Bewolking,J,
2011036451-1,3,022,011,DO,22:30,22:30,VLAARDINGEN,DISTRICT 1,4-WIJK 4,2-HAVENGEBIED,0-HAVENGEBIED,OOSTHAVENKADE,,Bewolking,J,
2011036832-1,3,022,011,DO,0:30,0:40,ROTTERDAM,DISTRICT 3,2-Feb,2-TUSSENDIJKE,3-3,SCHIEDAMSEWEG,,Bewolking,Bewolking,
2011039122-1,3,022,011,DO,22:00,22:15,ROTTERDAM,DISTRICT 10,9-Sep,9-HOOGVLIET ZUID,2-2,VLEUGEL,,Bewolking,D,
2011036970-1,4,022,011,VR,8:55,9:20,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,9-9,BREDENOORD,,Bewolking,J,
2011037644-1,4,022,011,VR,20:35,20:35,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,DELFTSESTRAAT,3013AB,Bewolking,J,
2011037664-1,4,022,011,VR,22:45,22:45,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,8-8,BERGSTRAAT,3035TD,Bewolking,Bewolking,
